epoch,accuracy,loss,val_accuracy,val_loss
0,0.38592,1.6580768535614014,0.4174,2.376250676288726
1,0.63286,1.0242147465133666,0.4251,3.247576961092129
2,0.74062,0.747534314546585,0.6481,1.1058390482216125
3,0.79786,0.587966300315857,0.719,0.9476367667981773
4,0.83434,0.47822343675613405,0.7922,0.6825934058162058
5,0.86668,0.3888953516674042,0.7467,0.8855292007421992
6,0.88974,0.3225209906101227,0.7588,0.8425045679708955
7,0.9083,0.2654514619037509,0.7983,0.8469143044322159
8,0.92234,0.2241072291946411,0.6552,1.7613728805712074
9,0.93186,0.19504306900978088,0.8042,0.7573136406339658
