epoch,accuracy,loss,val_accuracy,val_loss
0,0.38654,1.6479063914489747,0.3232,2.865068198768956
1,0.64012,1.0041531286621095,0.4641,2.2344438577913177
2,0.75296,0.7173458568382263,0.6012,1.3183312704608698
3,0.80788,0.5554106293296814,0.6593,1.2660613094165827
4,0.84552,0.44892472133636474,0.6446,1.418906697422076
5,0.87392,0.36615624559402465,0.73,0.9659451339275215
6,0.89352,0.30682041223526,0.7987,0.6945651399481828
7,0.9136,0.25078404299736023,0.8157,0.6131684886422127
8,0.9254,0.21162545655727386,0.7995,0.7488325974743837
9,0.93526,0.18374127382040023,0.7999,0.8822999810147437
