epoch,accuracy,loss,val_accuracy,val_loss
0,0.39458,1.643336806716919,0.3871,2.399236581128114
1,0.64002,1.010237190170288,0.4328,2.8008921974024195
2,0.74224,0.741958410949707,0.6916,1.0290580183077769
3,0.8009,0.5804774935531616,0.5731,1.8558616440766935
4,0.83632,0.46932574221611023,0.6586,1.4949220384761785
5,0.8657,0.38946143468856814,0.6734,1.3465095306657682
6,0.89132,0.3186023534297943,0.7937,0.7594600823844314
7,0.90738,0.2651797169971466,0.7447,0.9206641735924277
8,0.92428,0.21835806769371033,0.7915,0.9314528517662339
9,0.93262,0.19137521577835084,0.7922,0.9025065934961769
