epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.51008,1.3647226419448852,404.886,0.3183,3.526413988915219
1,0.70388,0.8376155695343017,382.082,0.5939,1.3497090111872194
2,0.77786,0.6358961805343628,382.048,0.6683,1.1383282401759154
3,0.8213,0.5084550389885902,381.702,0.6976,1.0478802570112191
4,0.85458,0.41322224617004394,382.087,0.6689,1.2090036487503417
5,0.88176,0.33649206699371337,382.55,0.7181,1.0248848974325095
6,0.90136,0.2755649372291565,382.953,0.7766,0.8370368030800182
7,0.91864,0.22866803039520978,382.574,0.7964,0.8386154123552286
8,0.93094,0.19145576169490813,381.738,0.7855,0.8837456951855095
9,0.9428,0.16448394933462143,382.316,0.7183,1.440946430157704
