epoch,accuracy,loss,val_accuracy,val_loss
0,0.40232,1.623634275970459,0.2057,5.997146226797893
1,0.62686,1.0437314014816284,0.4411,2.5063392455410805
2,0.73756,0.756504881067276,0.6577,1.1257124393229272
3,0.79636,0.5934664962387085,0.6851,1.079327969034766
4,0.83626,0.4808571518039703,0.7388,0.9263970295714724
5,0.86358,0.3929261158657074,0.7997,0.6152510844218503
6,0.88716,0.3271321444606781,0.7406,0.9656901604430691
7,0.90432,0.27957753789901735,0.7665,0.9349712327027776
8,0.91752,0.23935487137317657,0.7165,1.2557409405708313
9,0.93128,0.20229021882534026,0.7576,1.2066225329781795
