epoch,accuracy,loss,val_accuracy,val_loss
0,0.43266,1.5472189247894288,0.1505,9.879689325952226
1,0.66512,0.946908082408905,0.4414,2.7369079559471956
2,0.75496,0.7055233353900909,0.6631,1.1308486780543237
3,0.8072,0.5611165806961059,0.6739,1.0738899741962458
4,0.84168,0.4532572515487671,0.6799,1.0092567239597345
5,0.87118,0.3727440238571167,0.7001,1.086310174814455
6,0.89258,0.31246850170612334,0.7659,0.8375886042786252
7,0.90866,0.25966510655403136,0.7819,0.8742467493388304
8,0.92344,0.21917373247385025,0.727,1.2625265432770845
9,0.93188,0.19347604064464569,0.7302,1.2365906432176093
