epoch,accuracy,loss,val_accuracy,val_loss
0,0.42298,1.5676058358573914,0.3228,3.47861670992177
1,0.66134,0.9585762985897064,0.6126,1.304704635006607
2,0.75386,0.7038117725753784,0.6349,1.3387597377892513
3,0.80504,0.5622931967163086,0.6945,1.0453673768195377
4,0.84092,0.46504514236450195,0.6988,1.0726311878793557
5,0.86668,0.3846794415283203,0.7887,0.6979742864514612
6,0.8887,0.3222565412902832,0.791,0.7476392175741257
7,0.90414,0.27257472498893737,0.6928,1.4467492147236114
8,0.91848,0.23437184927165508,0.7977,0.8681726265864768
9,0.92892,0.203937112660408,0.801,0.7864437010257866
