epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.083,4.009758233184814,452.626,0.0514,7.213513805608081
1,0.23356,3.0604100994873047,443.289,0.1649,4.4200269477382585
2,0.35964,2.424766508407593,443.565,0.2505,3.8581041181163425
3,0.45664,2.002686603393555,443.497,0.1865,4.800326599436961
4,0.5284,1.6858407497024537,443.706,0.3698,2.661220809456649
5,0.5898,1.438582823524475,443.923,0.3631,3.0374797711706467
6,0.645,1.2188212784576415,443.569,0.2714,4.399204327042695
7,0.69676,1.016257346534729,443.845,0.4279,2.5821271011024525
8,0.7429,0.8391392274475098,443.688,0.463,2.4998980646680113
9,0.78528,0.6871996358108521,443.995,0.4204,3.220075082627072
