epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.0755,4.045919360656738,482.239,0.0537,6.086061933238035
1,0.2136,3.1673884222412108,473.735,0.1547,4.201644551222492
2,0.34544,2.497669384689331,474.242,0.1271,7.0475633888487605
3,0.44696,2.048521422805786,474.131,0.3501,2.7498409398801766
4,0.52082,1.7230618048858644,474.543,0.407,2.384583174802695
5,0.58826,1.4540483618164062,474.564,0.4219,2.411715142286507
6,0.64526,1.2201530430221557,474.499,0.4071,2.869353680853631
7,0.6971,1.014831366004944,473.706,0.4739,2.3583663550152143
8,0.74396,0.8344809827804566,474.169,0.4216,3.1431547388149674
9,0.78892,0.6826770882797242,473.604,0.4418,3.2361182285721894
