epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.0754,4.01411066078186,471.073,0.0511,9.025090712650567
1,0.21918,3.1399452404785158,464.103,0.0964,5.698850485929258
2,0.34848,2.4894466770935058,465.186,0.2418,3.6064796888144914
3,0.45096,2.0254297292327883,465.947,0.3255,2.8606685255743134
4,0.52916,1.688749111328125,465.425,0.3772,2.5636457257969365
5,0.59338,1.4185416594696045,464.99,0.4606,2.1030398660404668
6,0.65332,1.1868151078414917,465.357,0.4717,2.3377206750736117
7,0.70434,0.9757057642745972,465.961,0.4332,2.9290422299864947
8,0.75386,0.8027783666992188,465.767,0.4612,2.5519755645922033
9,0.79284,0.6572456106090546,464.889,0.4909,2.6101432909631423
