epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.0748,4.036185708465577,257.798,0.0446,7.629242711765751
1,0.19892,3.2328682835388185,249.464,0.1503,4.194315594472703
2,0.2954,2.722079429321289,249.368,0.2561,3.378288033661569
3,0.3815,2.3294367222595214,249.912,0.234,3.6205466765507013
4,0.4522,2.0109776179504393,249.559,0.3039,3.432564293503002
5,0.51338,1.7514418544769288,249.543,0.3759,2.554417170536746
6,0.56484,1.5266035089111327,249.086,0.2828,6.3023585225366485
7,0.614,1.3333078301620482,249.841,0.4289,2.574669671666091
8,0.65716,1.1464963092422484,249.702,0.4273,2.6729027852890597
9,0.70284,0.9832673797988891,249.363,0.3923,3.265715017440213
