epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.06604,4.076892625274658,162.281,0.05,7.582398776036159
1,0.17682,3.3382015368652342,152.758,0.0782,5.747211058428333
2,0.28572,2.7680706489562987,152.43,0.1878,3.91613858520605
3,0.37222,2.3496245579528807,152.595,0.3173,2.6628390148187138
4,0.4428,2.0398139389038086,152.36,0.2989,3.237983393820987
5,0.49998,1.7908476905822754,152.648,0.3775,2.5746362877499527
6,0.54776,1.5872614524459838,152.959,0.3899,2.9300957697971612
7,0.59262,1.4287989980316163,153.488,0.3745,2.656228519549036
8,0.63392,1.2355899014282226,152.521,0.4376,2.393295056501012
9,0.6701,1.0972826739501953,152.598,0.3914,2.930946416915602
