epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.081,3.983178021697998,461.294,0.0356,7.8620395690772185
1,0.21812,3.1178342246246338,452.584,0.1147,4.638057831745998
2,0.32898,2.562183913421631,452.04,0.2586,3.200712415063457
3,0.42074,2.1442026696777345,452.974,0.1441,4.821001485654503
4,0.4937,1.8328337725067139,452.129,0.3244,2.715597914282683
5,0.5504,1.599303589706421,452.776,0.378,2.9287300049119693
6,0.60034,1.3902876309204102,452.586,0.4074,2.604936497226642
7,0.65186,1.1929641330337524,452.83,0.3924,2.929218390944657
8,0.6921,1.024632956123352,452.033,0.3828,2.7991586733775535
9,0.7381,0.8622509126663208,452.905,0.4164,3.1076159249445436
